"縣市名稱","鄉鎮名稱","段號名稱","小段名稱","母號","子號","分號","面積(㎡)","使用單位名稱","使用部門名稱","使用分部名稱","使用分區名稱","使用地類名稱"
"臺中市","西屯區","福林",,"0272","0005","000","47.24","中彰區處","月眉資產課","月眉資產課","農業區       ","無"
"臺中市","西屯區","福林",,"0275","0000","000","518.27","中彰區處","月眉資產課","月眉資產課","農業區       ","無"
"臺中市","西屯區","福林",,"0275","0000","001","702.34","中彰區處","月眉資產課","月眉資產課","農業區       ","無"
"臺中市","西屯區","福林",,"0275","0001","000","145.17","中彰區處","月眉資產課","月眉資產課","道路        ","無"
"臺中市","西屯區","福林",,"0275","0002","000","1024.53","中彰區處","月眉資產課","月眉資產課","農業區       ","無"
"臺中市","西屯區","福林",,"0280","0000","000","5280.98","中彰區處","月眉資產課","月眉資產課","農業區       ","無"
"臺中市","西屯區","福林",,"0280","0000","001","906","中彰區處","月眉資產課","月眉資產課","農業區       ","無"
"臺中市","西屯區","生態",,"0163","0000","000","750.44","中彰區處","月眉資產課","月眉資產課","住宅區       ","無"
"臺中市","南屯區","知高",,"0191","0000","000","7087","中彰區處","月眉資產課","月眉資產課","道路        ","無"
"臺中市","南屯區","知高",,"0193","0000","000","729","中彰區處","月眉資產課","月眉資產課","工業區       ","無"
"臺中市","南屯區","知高",,"0193","0001","000","663","中彰區處","月眉資產課","月眉資產課","道路        ","無"
"臺中市","南屯區","知高",,"0193","0002","000","78","中彰區處","月眉資產課","月眉資產課","廣場        ","無"
"臺中市","南屯區","知高",,"0195","0001","000","238","中彰區處","月眉資產課","月眉資產課","公園        ","無"
"臺中市","南屯區","知高",,"0198","0001","000","3825","中彰區處","月眉資產課","月眉資產課","工業區       ","無"
"臺中市","南屯區","知高",,"0199","0001","000","146","中彰區處","月眉資產課","月眉資產課","工業區       ","無"
"臺中市","南屯區","知高",,"0199","0002","000","1","中彰區處","月眉資產課","月眉資產課","道路        ","無"
"臺中市","南屯區","知高",,"0200","0000","000","1415","中彰區處","月眉資產課","月眉資產課","公園        ","無"
"臺中市","南屯區","知高",,"0200","0001","000","20","中彰區處","月眉資產課","月眉資產課","農業區       ","無"
"臺中市","南屯區","知高",,"0201","0000","000","120","中彰區處","月眉資產課","月眉資產課","工業區       ","無"
"臺中市","南屯區","知高",,"0201","0001","000","718","中彰區處","月眉資產課","月眉資產課","道路        ","無"
"臺中市","南屯區","知高",,"0201","0002","000","1972","中彰區處","月眉資產課","月眉資產課","公園        ","無"
"臺中市","南屯區","山子腳",,"0282","0000","000","11265.2","中彰區處","月眉資產課","月眉資產課","道路        ","無"
"臺中市","南屯區","山子腳",,"0322","0000","000","14584.13","中彰區處","農場課","山仔腳農場","工業區       ","無"
"臺中市","南屯區","山子腳",,"0327","0046","000","2559.6","中彰區處","農場課","山仔腳農場","工業區       ","無"
"臺中市","南屯區","山子腳",,"0327","0048","000","1571.21","中彰區處","農場課","山仔腳農場","道路        ","無"
"臺中市","南屯區","山子腳",,"0417","0000","000","3103","中彰區處","月眉資產課","月眉資產課","住宅區       ","無"
"臺中市","南屯區","山子腳",,"0417","0001","000","219","中彰區處","月眉資產課","月眉資產課","住宅區       ","無"
"臺中市","南屯區","山子腳",,"0419","0001","005","162.4","中彰區處","月眉資產課","月眉資產課","住宅區       ","無"
"臺中市","南屯區","山子腳",,"0420","0000","000","51145","中彰區處","月眉資產課","月眉資產課","工業區       ","無"
